run,voters,propositions,accuracy,adv_control,prop_corrupted,prop_corrupted_pct,target_corrupted,alpha,stake,elapsed_time
1,10,100,0.8,0.3,9,9.0,0,0.7,100.0,0.0003
2,10,100,0.8,0.3,3,3.0,0,0.7,100.0,0.0003
3,10,100,0.8,0.3,8,8.0,0,0.7,100.0,0.0003
4,10,100,0.8,0.3,6,6.0,0,0.7,100.0,0.0002
5,10,100,0.8,0.3,8,8.0,0,0.7,100.0,0.0002
6,10,100,0.8,0.3,5,5.0,0,0.7,100.0,0.0002
7,10,100,0.8,0.3,4,4.0,0,0.7,100.0,0.0002
8,10,100,0.8,0.3,12,12.0,0,0.7,100.0,0.0002
9,10,100,0.8,0.3,7,7.0,0,0.7,100.0,0.0003
10,10,100,0.8,0.3,6,6.0,0,0.7,100.0,0.0002
11,10,100,0.8,0.3,3,3.0,0,0.7,100.0,0.0002
12,10,100,0.8,0.3,7,7.0,0,0.7,100.0,0.0002
13,10,100,0.8,0.3,9,9.0,1,0.7,100.0,0.0002
14,10,100,0.8,0.3,4,4.0,0,0.7,100.0,0.0003
15,10,100,0.8,0.3,4,4.0,0,0.7,100.0,0.0002
16,10,100,0.8,0.3,9,9.0,0,0.7,100.0,0.0003
17,10,100,0.8,0.3,100,100.0,1,0.7,100.0,0.0002
18,10,100,0.8,0.3,11,11.0,0,0.7,100.0,0.0002
19,10,100,0.8,0.3,5,5.0,0,0.7,100.0,0.0002
20,10,100,0.8,0.3,4,4.0,0,0.7,100.0,0.0002
21,10,100,0.8,0.3,4,4.0,0,0.7,100.0,0.0002
22,10,100,0.8,0.3,5,5.0,1,0.7,100.0,0.0002
23,10,100,0.8,0.3,6,6.0,0,0.7,100.0,0.0003
24,10,100,0.8,0.3,9,9.0,0,0.7,100.0,0.0002
25,10,100,0.8,0.3,5,5.0,0,0.7,100.0,0.0003
26,10,100,0.8,0.3,9,9.0,0,0.7,100.0,0.0002
27,10,100,0.8,0.3,8,8.0,0,0.7,100.0,0.0002
28,10,100,0.8,0.3,8,8.0,0,0.7,100.0,0.0003
29,10,100,0.8,0.3,7,7.0,0,0.7,100.0,0.0002
30,10,100,0.8,0.3,100,100.0,1,0.7,100.0,0.0002
