run,voters,propositions,accuracy,adv_control,prop_corrupted,prop_corrupted_pct,target_corrupted,alpha,stake,elapsed_time
1,10,100,0.55,0.3,99,99.0,1,0.7,100.0,0.0003
2,10,100,0.55,0.3,97,97.0,1,0.7,100.0,0.0003
3,10,100,0.55,0.3,100,100.0,1,0.7,100.0,0.0002
4,10,100,0.55,0.3,100,100.0,1,0.7,100.0,0.0002
5,10,100,0.55,0.3,100,100.0,1,0.7,100.0,0.0002
6,10,100,0.55,0.3,93,93.0,1,0.7,100.0,0.0002
7,10,100,0.55,0.3,100,100.0,1,0.7,100.0,0.0003
8,10,100,0.55,0.3,100,100.0,1,0.7,100.0,0.0002
9,10,100,0.55,0.3,99,99.0,1,0.7,100.0,0.0002
10,10,100,0.55,0.3,97,97.0,1,0.7,100.0,0.0002
11,10,100,0.55,0.3,99,99.0,1,0.7,100.0,0.0002
12,10,100,0.55,0.3,100,100.0,1,0.7,100.0,0.0003
13,10,100,0.55,0.3,93,93.0,1,0.7,100.0,0.0002
14,10,100,0.55,0.3,100,100.0,1,0.7,100.0,0.0002
15,10,100,0.55,0.3,100,100.0,1,0.7,100.0,0.0003
16,10,100,0.55,0.3,100,100.0,1,0.7,100.0,0.0003
17,10,100,0.55,0.3,99,99.0,1,0.7,100.0,0.0002
18,10,100,0.55,0.3,94,94.0,1,0.7,100.0,0.0003
19,10,100,0.55,0.3,100,100.0,1,0.7,100.0,0.0003
20,10,100,0.55,0.3,95,95.0,1,0.7,100.0,0.0003
21,10,100,0.55,0.3,100,100.0,1,0.7,100.0,0.0003
22,10,100,0.55,0.3,100,100.0,1,0.7,100.0,0.0003
23,10,100,0.55,0.3,96,96.0,1,0.7,100.0,0.0003
24,10,100,0.55,0.3,98,98.0,1,0.7,100.0,0.0003
25,10,100,0.55,0.3,100,100.0,1,0.7,100.0,0.0003
26,10,100,0.55,0.3,100,100.0,1,0.7,100.0,0.0003
27,10,100,0.55,0.3,100,100.0,1,0.7,100.0,0.0003
28,10,100,0.55,0.3,100,100.0,1,0.7,100.0,0.0002
29,10,100,0.55,0.3,93,93.0,1,0.7,100.0,0.0002
30,10,100,0.55,0.3,100,100.0,1,0.7,100.0,0.0002
