run,voters,propositions,accuracy,adv_control,prop_corrupted,prop_corrupted_pct,target_corrupted,alpha,stake,elapsed_time
1,10,60,0.76,0.4,17,28.33,0,0.7,100.0,0.0002
2,10,60,0.76,0.4,60,100.0,1,0.7,100.0,0.0001
3,10,60,0.76,0.4,60,100.0,1,0.7,100.0,0.0002
4,10,60,0.76,0.4,53,88.33,1,0.7,100.0,0.0002
5,10,60,0.76,0.4,15,25.0,1,0.7,100.0,0.0002
6,10,60,0.76,0.4,59,98.33,1,0.7,100.0,0.0002
7,10,60,0.76,0.4,60,100.0,1,0.7,100.0,0.0001
8,10,60,0.76,0.4,12,20.0,0,0.7,100.0,0.0001
9,10,60,0.76,0.4,60,100.0,1,0.7,100.0,0.0001
10,10,60,0.76,0.4,60,100.0,1,0.7,100.0,0.0001
11,10,60,0.76,0.4,8,13.33,0,0.7,100.0,0.0001
12,10,60,0.76,0.4,58,96.67,1,0.7,100.0,0.0001
13,10,60,0.76,0.4,59,98.33,1,0.7,100.0,0.0002
14,10,60,0.76,0.4,11,18.33,0,0.7,100.0,0.0001
15,10,60,0.76,0.4,60,100.0,1,0.7,100.0,0.0001
16,10,60,0.76,0.4,8,13.33,1,0.7,100.0,0.0001
17,10,60,0.76,0.4,15,25.0,0,0.7,100.0,0.0001
18,10,60,0.76,0.4,59,98.33,1,0.7,100.0,0.0002
19,10,60,0.76,0.4,26,43.33,1,0.7,100.0,0.0002
20,10,60,0.76,0.4,59,98.33,1,0.7,100.0,0.0002
21,10,60,0.76,0.4,59,98.33,1,0.7,100.0,0.0001
22,10,60,0.76,0.4,60,100.0,1,0.7,100.0,0.0001
23,10,60,0.76,0.4,60,100.0,1,0.7,100.0,0.0002
24,10,60,0.76,0.4,59,98.33,1,0.7,100.0,0.0002
25,10,60,0.76,0.4,13,21.67,0,0.7,100.0,0.0001
26,10,60,0.76,0.4,60,100.0,1,0.7,100.0,0.0002
27,10,60,0.76,0.4,60,100.0,1,0.7,100.0,0.0002
28,10,60,0.76,0.4,60,100.0,1,0.7,100.0,0.0002
29,10,60,0.76,0.4,60,100.0,1,0.7,100.0,0.0002
30,10,60,0.76,0.4,8,13.33,0,0.7,100.0,0.0002
