run,voters,propositions,accuracy,adv_control,prop_corrupted,prop_corrupted_pct,target_corrupted,alpha,stake,elapsed_time
1,10,60,0.8,0.4,11,18.33,0,0.7,100.0,0.002
2,10,60,0.8,0.4,60,100.0,1,0.7,100.0,0.0
3,10,60,0.8,0.4,60,100.0,1,0.7,100.0,0.0
4,10,60,0.8,0.4,13,21.67,0,0.7,100.0,0.0
5,10,60,0.8,0.4,11,18.33,1,0.7,100.0,0.001
6,10,60,0.8,0.4,5,8.33,1,0.7,100.0,0.0
7,10,60,0.8,0.4,5,8.33,0,0.7,100.0,0.0
8,10,60,0.8,0.4,9,15.0,0,0.7,100.0,0.002
9,10,60,0.8,0.4,60,100.0,1,0.7,100.0,0.002
10,10,60,0.8,0.4,60,100.0,1,0.7,100.0,0.002
11,10,60,0.8,0.4,8,13.33,0,0.7,100.0,0.0
12,10,60,0.8,0.4,60,100.0,1,0.7,100.0,0.0
13,10,60,0.8,0.4,11,18.33,0,0.7,100.0,0.002
14,10,60,0.8,0.4,6,10.0,0,0.7,100.0,0.0
15,10,60,0.8,0.4,4,6.67,0,0.7,100.0,0.0015
16,10,60,0.8,0.4,6,10.0,1,0.7,100.0,0.0018
17,10,60,0.8,0.4,11,18.33,0,0.7,100.0,0.0
18,10,60,0.8,0.4,11,18.33,1,0.7,100.0,0.0
19,10,60,0.8,0.4,19,31.67,1,0.7,100.0,0.0
20,10,60,0.8,0.4,59,98.33,1,0.7,100.0,0.0015
21,10,60,0.8,0.4,59,98.33,1,0.7,100.0,0.002
22,10,60,0.8,0.4,60,100.0,1,0.7,100.0,0.0015
23,10,60,0.8,0.4,10,16.67,0,0.7,100.0,0.0
24,10,60,0.8,0.4,9,15.0,0,0.7,100.0,0.0
25,10,60,0.8,0.4,3,5.0,0,0.7,100.0,0.0
26,10,60,0.8,0.4,60,100.0,1,0.7,100.0,0.0
27,10,60,0.8,0.4,60,100.0,1,0.7,100.0,0.0032
28,10,60,0.8,0.4,9,15.0,0,0.7,100.0,0.0
29,10,60,0.8,0.4,60,100.0,1,0.7,100.0,0.0048
30,10,60,0.8,0.4,8,13.33,0,0.7,100.0,0.0
