dataset,split,accuracy,adv_control,n_voters,n_propositions,n_runs,corruption_avg,corruption_std,corruption_min,corruption_max,system_accuracy,target_corrupted_pct
MIX,60-40,0.5,0.4,10,100,30,100.0,0.0,100,100,0.0,100.0
MIX,60-40,0.55,0.4,10,100,30,99.97,0.18,99,100,0.03,100.0
MIX,60-40,0.6,0.4,10,100,30,99.83,0.53,98,100,0.17,100.0
MIX,60-40,0.65,0.4,10,100,30,99.07,4.03,78,100,0.93,100.0
MIX,60-40,0.68,0.4,10,100,30,97.6,12.22,33,100,2.4,100.0
MIX,60-40,0.7,0.4,10,100,30,97.27,13.48,26,100,2.73,100.0
MIX,60-40,0.72,0.4,10,100,30,94.6,19.22,21,100,5.4,100.0
MIX,60-40,0.74,0.4,10,100,30,92.77,21.1,26,100,7.23,93.33
MIX,60-40,0.76,0.4,10,100,30,83.87,32.44,14,100,16.13,86.67
MIX,60-40,0.78,0.4,10,100,30,82.83,33.95,11,100,17.17,90.0
MIX,60-40,0.8,0.4,10,100,30,73.63,40.34,9,100,26.37,76.67
MIX,60-40,0.82,0.4,10,100,30,58.07,45.14,8,100,41.93,60.0
MIX,60-40,0.84,0.4,10,100,30,44.97,45.47,5,100,55.03,46.67
MIX,60-40,0.86,0.4,10,100,30,40.27,45.92,2,100,59.73,43.33
MIX,60-40,0.88,0.4,10,100,30,26.37,41.03,0,100,73.63,23.33
MIX,60-40,0.9,0.4,10,100,30,9.37,24.15,0,98,90.63,6.67
MIX,60-40,0.92,0.4,10,100,30,5.2,17.94,0,100,94.8,3.33
MIX,60-40,0.95,0.4,10,100,30,0.67,0.88,0,3,99.33,0.0
MIX,60-40,0.99,0.4,10,100,30,0.13,0.35,0,1,99.87,0.0
PRO,60-40,0.5,0.4,10,60,30,59.9,0.31,59,60,0.17,100.0
PRO,60-40,0.55,0.4,10,60,30,59.83,0.46,58,60,0.28,100.0
PRO,60-40,0.6,0.4,10,60,30,59.4,1.3,54,60,1.0,100.0
PRO,60-40,0.65,0.4,10,60,30,57.13,9.06,22,60,4.78,93.33
PRO,60-40,0.68,0.4,10,60,30,56.33,10.7,15,60,6.11,93.33
PRO,60-40,0.7,0.4,10,60,30,55.1,11.71,14,60,8.17,90.0
PRO,60-40,0.72,0.4,10,60,30,50.77,17.12,13,60,15.39,86.67
PRO,60-40,0.74,0.4,10,60,30,47.93,19.69,9,60,20.11,86.67
PRO,60-40,0.76,0.4,10,60,30,43.93,22.28,8,60,26.78,76.67
PRO,60-40,0.78,0.4,10,60,30,39.43,24.35,6,60,34.28,73.33
PRO,60-40,0.8,0.4,10,60,30,27.57,25.13,3,60,54.06,53.33
PRO,60-40,0.82,0.4,10,60,30,25.97,25.62,3,60,56.72,50.0
PRO,60-40,0.84,0.4,10,60,30,21.83,25.04,2,60,63.61,43.33
PRO,60-40,0.86,0.4,10,60,30,17.0,23.91,0,60,71.67,36.67
PRO,60-40,0.88,0.4,10,60,30,12.1,21.51,0,60,79.83,23.33
PRO,60-40,0.9,0.4,10,60,30,5.4,14.89,0,60,91.0,10.0
PRO,60-40,0.92,0.4,10,60,30,1.2,1.21,0,6,98.0,3.33
PRO,60-40,0.95,0.4,10,60,30,0.43,0.63,0,2,99.28,0.0
PRO,60-40,0.99,0.4,10,60,30,0.03,0.18,0,1,99.94,0.0
