run,voters,propositions,accuracy,adv_control,prop_corrupted,prop_corrupted_pct,target_corrupted,alpha,stake,elapsed_time
1,10,100,0.688,0.3,21,21.0,0,0.7,100.0,0.0003
2,10,100,0.688,0.3,96,96.0,1,0.7,100.0,0.0003
3,10,100,0.688,0.3,100,100.0,1,0.7,100.0,0.0003
4,10,100,0.688,0.3,97,97.0,1,0.7,100.0,0.0003
5,10,100,0.688,0.3,93,93.0,1,0.7,100.0,0.0002
6,10,100,0.688,0.3,35,35.0,0,0.7,100.0,0.0003
7,10,100,0.688,0.3,98,98.0,1,0.7,100.0,0.0003
8,10,100,0.688,0.3,99,99.0,1,0.7,100.0,0.0003
9,10,100,0.688,0.3,32,32.0,0,0.7,100.0,0.0003
10,10,100,0.688,0.3,99,99.0,1,0.7,100.0,0.0003
11,10,100,0.688,0.3,16,16.0,0,0.7,100.0,0.0003
12,10,100,0.688,0.3,24,24.0,1,0.7,100.0,0.0003
13,10,100,0.688,0.3,29,29.0,1,0.7,100.0,0.0003
14,10,100,0.688,0.3,14,14.0,0,0.7,100.0,0.0003
15,10,100,0.688,0.3,89,89.0,1,0.7,100.0,0.0003
16,10,100,0.688,0.3,30,30.0,0,0.7,100.0,0.0003
17,10,100,0.688,0.3,100,100.0,1,0.7,100.0,0.0003
18,10,100,0.688,0.3,21,21.0,0,0.7,100.0,0.0003
19,10,100,0.688,0.3,23,23.0,0,0.7,100.0,0.0002
20,10,100,0.688,0.3,23,23.0,0,0.7,100.0,0.0003
21,10,100,0.688,0.3,97,97.0,1,0.7,100.0,0.0003
22,10,100,0.688,0.3,20,20.0,1,0.7,100.0,0.0002
23,10,100,0.688,0.3,94,94.0,1,0.7,100.0,0.0003
24,10,100,0.688,0.3,97,97.0,1,0.7,100.0,0.0003
25,10,100,0.688,0.3,92,92.0,1,0.7,100.0,0.0002
26,10,100,0.688,0.3,20,20.0,0,0.7,100.0,0.0003
27,10,100,0.688,0.3,99,99.0,1,0.7,100.0,0.0003
28,10,100,0.688,0.3,94,94.0,1,0.7,100.0,0.0003
29,10,100,0.688,0.3,37,37.0,0,0.7,100.0,0.0003
30,10,100,0.688,0.3,99,99.0,1,0.7,100.0,0.0003
