45,TRUE,222.0000,148.0000
2,FALSE,104.6518,357.3036
42,FALSE,229.2576,310.3895
84,FALSE,215.6518,360.9953
98,TRUE,303.2576,296.0000
5,FALSE,230.9777,404.3435
83,FALSE,193.7345,442.8204
74,FALSE,275.6311,404.9381
30,FALSE,229.5549,473.5245
18,FALSE,304.9777,443.8971
88,FALSE,165.1718,556.6931
19,FALSE,215.6518,548.6518
48,FALSE,37.0000,734.2747
8,FALSE,89.3259,765.1864
86,FALSE,303.5549,595.4216
10,FALSE,364.9570,533.6216
34,FALSE,284.9063,590.7653
78,FALSE,163.3259,714.8533
36,FALSE,318.5835,592.0000
9,FALSE,126.3259,751.8714
87,FALSE,227.4118,691.9967
63,FALSE,163.3259,756.1170
92,FALSE,156.9777,799.9620
96,FALSE,252.6518,715.2212
16,FALSE,190.4118,768.1815
15,FALSE,126.3259,851.4349
55,FALSE,291.4977,725.0490
25,FALSE,163.3259,829.3259
17,FALSE,89.3259,929.7408
71,FALSE,304.9777,769.0306
13,FALSE,212.0859,820.1424
62,FALSE,89.3259,960.3303
39,FALSE,178.6518,927.0412
41,FALSE,249.0859,861.0291
40,FALSE,279.7377,837.2144
28,FALSE,163.3259,924.1953
72,FALSE,111.0000,1004.6327
54,FALSE,202.1718,964.9057
53,FALSE,190.4118,992.6518
82,FALSE,239.1718,952.5748
95,FALSE,205.7377,986.3333
7,FALSE,111.0000,1081.2374
23,FALSE,202.1718,1037.1201
12,FALSE,252.6518,999.9883
26,FALSE,74.0000,1161.3214
27,FALSE,237.3259,1059.8268
85,FALSE,217.4977,1082.8068
1,FALSE,267.9777,1029.8142
94,FALSE,190.4118,1077.7848
81,FALSE,215.6518,1066.9628
11,FALSE,212.0859,1062.3741
89,FALSE,52.3259,1236.3259
37,FALSE,205.7377,1151.1698
76,FALSE,291.4977,1056.9314
65,FALSE,252.6518,1067.2432
69,FALSE,185.0000,1114.4563
73,FALSE,200.3259,1124.5734
91,FALSE,148.0000,1186.9233
52,FALSE,264.4118,1107.5306
6,FALSE,126.3259,1228.3755
66,FALSE,215.6518,1179.4603
58,FALSE,212.0859,1173.8096
79,FALSE,163.3259,1235.7290
60,FALSE,163.3259,1257.0028
21,FALSE,200.3259,1239.3532
56,FALSE,89.3259,1365.1254
77,FALSE,316.7377,1184.0000
24,FALSE,138.0859,1319.5400
57,FALSE,205.7377,1291.6836
47,FALSE,215.6518,1275.5181
38,FALSE,111.0000,1368.4393
44,FALSE,209.0604,1318.7062
22,FALSE,212.0859,1327.5827
61,FALSE,242.7377,1311.1560
4,FALSE,237.3259,1292.8216
33,FALSE,111.0000,1417.9243
68,FALSE,74.0000,1500.5559
3,FALSE,153.4118,1475.4521
14,FALSE,352.0174,1290.2341
0,FALSE,193.7345,1409.6947
51,FALSE,209.0604,1418.1006
35,FALSE,320.0604,1315.4528
49,FALSE,138.0859,1471.7522
46,FALSE,261.3863,1384.3259
75,FALSE,286.0859,1340.1970
43,FALSE,163.3259,1449.4300
80,FALSE,37.0000,1593.7683
67,FALSE,205.7377,1499.5530
90,FALSE,179.9570,1510.5814
59,FALSE,163.3259,1552.5125
93,FALSE,292.8029,1440.6890
50,FALSE,261.3863,1460.3151
32,FALSE,185.0000,1515.0513
97,FALSE,227.4118,1494.5645
29,FALSE,163.3259,1547.1973
99,FALSE,187.2187,1538.2603
20,FALSE,141.6518,1614.8703
70,FALSE,187.2187,1580.6114
64,FALSE,269.2829,1524.0979
31,FALSE,193.7345,1577.3655
